Measure Name,Year,Period,Value
Employment Rate (Toronto Residents),2007,Jan,0.6042
Employment Rate (Toronto Residents),2007,Feb,0.6092
Employment Rate (Toronto Residents),2007,Mar,0.6073
Employment Rate (Toronto Residents),2007,Apr,0.603
Employment Rate (Toronto Residents),2007,May,0.6018
Employment Rate (Toronto Residents),2007,Jun,0.6034
Employment Rate (Toronto Residents),2007,Jul,0.6027
Employment Rate (Toronto Residents),2007,Aug,0.604
Employment Rate (Toronto Residents),2007,Sep,0.6013
Employment Rate (Toronto Residents),2007,Oct,0.6027
Employment Rate (Toronto Residents),2007,Nov,0.602
Employment Rate (Toronto Residents),2007,Dec,0.6043
Employment Rate (Toronto Residents),2008,Jan,0.6061
Employment Rate (Toronto Residents),2008,Feb,0.6095
Employment Rate (Toronto Residents),2008,Mar,0.6136
Employment Rate (Toronto Residents),2008,Apr,0.6182
Employment Rate (Toronto Residents),2008,May,0.6198
Employment Rate (Toronto Residents),2008,Jun,0.6168
Employment Rate (Toronto Residents),2008,Jul,0.6114
Employment Rate (Toronto Residents),2008,Aug,0.6065
Employment Rate (Toronto Residents),2008,Sep,0.6052
Employment Rate (Toronto Residents),2008,Oct,0.6043
Employment Rate (Toronto Residents),2008,Nov,0.6027
Employment Rate (Toronto Residents),2008,Dec,0.6052
Employment Rate (Toronto Residents),2009,Jan,0.6055
Employment Rate (Toronto Residents),2009,Feb,0.6054
Employment Rate (Toronto Residents),2009,Mar,0.6031
Employment Rate (Toronto Residents),2009,Apr,0.6023
Employment Rate (Toronto Residents),2009,May,0.6018
Employment Rate (Toronto Residents),2009,Jun,0.5963
Employment Rate (Toronto Residents),2009,Jul,0.5919
Employment Rate (Toronto Residents),2009,Aug,0.5877
Employment Rate (Toronto Residents),2009,Sep,0.5872
Employment Rate (Toronto Residents),2009,Oct,0.5874
Employment Rate (Toronto Residents),2009,Nov,0.587
Employment Rate (Toronto Residents),2009,Dec,0.5856
Employment Rate (Toronto Residents),2010,Jan,0.5838
Employment Rate (Toronto Residents),2010,Feb,0.5829
Employment Rate (Toronto Residents),2010,Mar,0.584
Employment Rate (Toronto Residents),2010,Apr,0.5815
Employment Rate (Toronto Residents),2010,May,0.5778
Employment Rate (Toronto Residents),2010,Jun,0.5762
Employment Rate (Toronto Residents),2010,Jul,0.5806
Employment Rate (Toronto Residents),2010,Aug,0.5877
Employment Rate (Toronto Residents),2010,Sep,0.5869
Employment Rate (Toronto Residents),2010,Oct,0.5846
Employment Rate (Toronto Residents),2010,Nov,0.5789
Employment Rate (Toronto Residents),2010,Dec,0.5827
Employment Rate (Toronto Residents),2011,Jan,0.5884
Employment Rate (Toronto Residents),2011,Feb,0.594
Employment Rate (Toronto Residents),2011,Mar,0.593
Employment Rate (Toronto Residents),2011,Apr,0.5897
Employment Rate (Toronto Residents),2011,May,0.589
Employment Rate (Toronto Residents),2011,Jun,0.5897
Employment Rate (Toronto Residents),2011,Jul,0.5878
Employment Rate (Toronto Residents),2011,Aug,0.5858
Employment Rate (Toronto Residents),2011,Sep,0.5819
Employment Rate (Toronto Residents),2011,Oct,0.5794
Employment Rate (Toronto Residents),2011,Nov,0.5771
Employment Rate (Toronto Residents),2011,Dec,0.5787
Employment Rate (Toronto Residents),2012,Jan,0.5774
Employment Rate (Toronto Residents),2012,Feb,0.5792
Employment Rate (Toronto Residents),2012,Mar,0.581
Employment Rate (Toronto Residents),2012,Apr,0.5812
Employment Rate (Toronto Residents),2012,May,0.5818
Employment Rate (Toronto Residents),2012,Jun,0.5815
Employment Rate (Toronto Residents),2012,Jul,0.5884
Employment Rate (Toronto Residents),2012,Aug,0.5931
Employment Rate (Toronto Residents),2012,Sep,0.596
Employment Rate (Toronto Residents),2012,Oct,0.5981
Employment Rate (Toronto Residents),2012,Nov,0.5977
Employment Rate (Toronto Residents),2012,Dec,0.5989
Employment Rate (Toronto Residents),2013,Jan,0.6005
Employment Rate (Toronto Residents),2013,Feb,0.6026
Employment Rate (Toronto Residents),2013,Mar,0.607
Employment Rate (Toronto Residents),2013,Apr,0.6098
Employment Rate (Toronto Residents),2013,May,0.6139
Employment Rate (Toronto Residents),2013,Jun,0.6165
Employment Rate (Toronto Residents),2013,Jul,0.6193
Employment Rate (Toronto Residents),2013,Aug,0.6217
Employment Rate (Toronto Residents),2013,Sep,0.6209
Employment Rate (Toronto Residents),2013,Oct,0.6133
Employment Rate (Toronto Residents),2013,Nov,0.6056
Employment Rate (Toronto Residents),2013,Dec,0.5992
Employment Rate (Toronto Residents),2014,Jan,0.5933
Employment Rate (Toronto Residents),2014,Feb,0.589
Employment Rate (Toronto Residents),2014,Mar,0.5878
Employment Rate (Toronto Residents),2014,Apr,0.5929
Employment Rate (Toronto Residents),2014,May,0.5939
Employment Rate (Toronto Residents),2014,Jun,0.5911
Employment Rate (Toronto Residents),2014,Jul,0.5863
Employment Rate (Toronto Residents),2014,Aug,0.5839
Employment Rate (Toronto Residents),2014,Sep,0.584
Employment Rate (Toronto Residents),2014,Oct,0.5852
Employment Rate (Toronto Residents),2014,Nov,0.5857
Employment Rate (Toronto Residents),2014,Dec,0.584
Employment Rate (Toronto Residents),2015,Jan,0.5834
