January,2019,35.59
February,2019,35.04
March,2019,35.47
April,2019,31.03
May,2019,35.95
June,2019,36.41
July,2019,35.9
August,2019,36.28
September,2019,36.5
October,2019,32.16
November,2019,35.34
December,2019,36.26
January,2020,35.76
February,2020,35.22
March,2020,35.2
April,2020,35.93
May,2020,37.34
June,2020,36.54
July,2020,36.26
August,2020,35.66
September,2020,36.21
October,2020,34.63
November,2020,35.81
December,2020,36.63
January,2021,36.42
February,2021,34.47
March,2021,36.17
April,2021,36.16
May,2021,36.75
June,2021,36.63
July,2021,0.0
August,2021,0.0
September,2021,0.0
October,2021,0.0
November,2021,0.0
December,2021,0.0

