January,2019,60
February,2019,103
March,2019,176
April,2019,247
May,2019,315
June,2019,360
July,2019,414
August,2019,464
September,2019,514
October,2019,561
November,2019,614
December,2019,652
January,2020,46
February,2020,101
March,2020,145
April,2020,182
May,2020,237
June,2020,279
July,2020,328
August,2020,370
September,2020,408
October,2020,454
November,2020,490
December,2020,536
January,2021,36
February,2021,68
March,2021,93
April,2021,128
May,2021,163
June,2021,196
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
