January,2019,3859
February,2019,7383
March,2019,12034
April,2019,16074
May,2019,20308
June,2019,23881
July,2019,27652
August,2019,31201
September,2019,34883
October,2019,38724
November,2019,41516
December,2019,45776
January,2020,4124
February,2020,7790
March,2020,10431
April,2020,11470
May,2020,14211
June,2020,15423
July,2020,18853
August,2020,24809
September,2020,29898
October,2020,33797
November,2020,36095
December,2020,39075
January,2021,3400
February,2021,6386
March,2021,9245
April,2021,11913
May,2021,15254
June,2021,18856
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
