January,2019,1422
February,2019,3301
March,2019,5846
April,2019,9080
May,2019,12795
June,2019,15996
July,2019,19106
August,2019,21659
September,2019,24654
October,2019,27949
November,2019,30667
December,2019,32340
January,2020,1603
February,2020,4080
March,2020,6851
April,2020,7887
May,2020,9378
June,2020,12208
July,2020,15785
August,2020,19150
September,2020,22705
October,2020,26219
November,2020,29251
December,2020,31964
January,2021,2665
February,2021,6406
March,2021,11536
April,2021,16230
May,2021,20348
June,2021,24198
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
