Month,Year,percentageSelfEmployed
January,2019,17.5
February,2019,16.9
March,2019,16.9
April,2019,17.3
May,2019,17.7
June,2019,18.0
July,2019,18.2
August,2019,18.5
September,2019,18.5
October,2019,18.2
November,2019,17.1
December,2019,15.8
January,2020,15.0
February,2020,14.8
March,2020,15.3
April,2020,16.4
May,2020,17.4
June,2020,18.4
July,2020,17.6
August,2020,17.2
September,2020,16.9
October,2020,17.5
November,2020,18.2
December,2020,17.9
January,2021,17.6
February,2021,16.7
March,2021,16.2
April,2021,16.0
May,2021,16.0
June,2021,16.2
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
