January,2019,57.8
February,2019,57.8
March,2019,58.3
April,2019,59.7
May,2019,60.9
June,2019,61.8
July,2019,62.2
August,2019,61.9
September,2019,61.7
October,2019,60.9
November,2019,60.2
December,2019,59.5
January,2020,59.4
February,2020,59.5
March,2020,58.4
April,2020,56.2
May,2020,53.6
June,2020,53.4
July,2020,54.2
August,2020,55.5
September,2020,56.5
October,2020,57.8
November,2020,58.4
December,2020,58.1
January,2021,57.4
February,2021,56.7
March,2021,56.3
April,2021,56.9
May,2021,57.6
June,2021,58.2
July,2021,0
August,2021,0
September,2021,0
October,2021,0
November,2021,0
December,2021,0
