1,TAXIFY,M9N 1A1,,,485
2,INSTARYDE,M3J 2T8,,,485
3,UBER CANADA,M4W 3M5,,,485
4,FACEDRIVE,L4B 1G8,,,485
5,RIDEIN,M8Z 3B1,,,485
6,LYFT CANADA,M5L 1A9,,,485
7,DRIVEHER TRANSPORTATION,L5A 1W5,,,485
8,EGO,M5V 1S1,,,485
9,CAPPTIN,M2N 6K1,,,485
10,CLOUDAMART,M5P 2K6,,,485
11,M-RIDES,M1V 5C4,,,485
12,SCARBOROUGH CITY CAB,M1H 1A5,,,485
13,BECK TAXI,M4B 2V2,,,485
14,CITY TAXI,M9W 5E3,,,485
15,SUNRISE TAXI,M4G 3V3,,,485
16,INTER LINE TAXI,M1M 1R4,,,485
17,TRILLIUM CORPORATE TAXI SERVICES,M4G 3V3,,,485
18,CELEBRITY TAXI,M3K 1E2,,,485
19,AMBASSADOR TAXI,M3K 1E2,,,485
20,A-1 TORONTO TAXI,M3N 1W4,,,485
21,TAKE-A-TAXI,M6G 1Y7,,,485
22,OLYMPIC TAXI,M1H 2V7,,,485
23,MOBILE AMBASSADORS,M1L 3W4,,,485
24,AMEN DISCOUNT TAXI,M1P 4X7,,,485
25,5 STAR TAXI,M1J 2C7,,,485
26,EMERALD CORPORATE TAXI SERVICES,M1L 3X8,,,485
27,TAXI LUXURY RIDE,M1P 4X7,,,485
28,WHEELCHAIR TAXI OF ONTARIO,M6N 4B4,,,485
29,WIM TAXI,M6P 1Y8,,,485
30,DIPLOMAT TAXI,M9W 3A7,,,485
31,TORONTO AMBASSADORS TAXI SERVICES(TATS),M5A 2R3,,,485
32,YELLOW CAB,M5V 1V1,,,485
33,METRO CAB,M5V 1V1,,,485
34,BLOOMINGDALE TAXI,M8Z 3B1,,,485
35,ARROW/SUNNYSIDE,M8Z 2C9,,,485
36,ACT AMBASSADOR TAXI,M5A 2R3,,,485
37,PREMIER TAXI SERVICES,M9W 4X3,,,485
38,CROWN TAXI,M1L 4C2,,,485
39,BEE LINE TAXI,M1V 1S9,,,485
40,ABC TAXI,M1K 2P3,,,485
41,ARROW CAB,M4A 2S6,,,485
42,EAST END TAXI,M1N 1R3,,,485
43,MOTION TAXI CO-OPERATIVE,M1J 1C9,,,485
44,TORONTO PARA TRANSIT,M3J 3G9,,,485
45,A-1 GTA CAB,L7E 0K6,,,485
46,EAST END TAXI 2010,M1N 1R3,,,485
47,IMPERIAL TAXI,M3C 1J5,,,485
48,AAA BEST CHOICE TAXI,M9W 6K1,,,485
49,ASTRO TAXI,L4K 1W1,,,485
50,MAPLE LEAF TAXICABS,M4J 5B5,,,485
51,MAPLE LEAF TAXI-CAB,M4J 5B5,,,485
52,HAILO NETWORK CANADA,M5V 2L1,,,485
53,ZOOM CAB,M5G 1Z3,,,485
54,GOTAXIGO,M5A 3P7,,,485
55,PREMIER TAXI SERVICES INC,M4G 3V3,,,485
56,ABLE ATLANTIC TAXI (1992) LTD,M1V 1S9,,,485
57,KINGSBORO/REXDALE,M8X 1X3,,,485
58,ON-TIME TAXI,M9N 1W8,,,485
59,CHECKER TAXI,M3J 3G9,,,485
60,UNICABS,L9S 4Z7,,,485
61,ETOBICOKE TAXI,M9A 1B2,,,485
62,GTA TAXI SERVICES,M3J 2T2,,,485
63,ZULU CAB,L4L 1A6,,,485
64,MEGA TAXI & TRANSPORTATION,M1V 5J6,,,485
65,CLICK,M9N 2A4,,,485
66,E CAB CALLER,L8E 1H9,,,485
67,SMART TAXI,M3C 1J5,,,485
68,ECO TAXI,M6R 1B9,,,485
69,24-7 TAXI,L4Z 3L5,,,485
70,ROYAL TAXI,M3K 1Z3,,,485
71,A TORONTO TAXI,M1R 3B7,,,485
72,QUICK TIME TAXI SERVICS,L6V 4P2,,,485
73,DIAMOND TAXICAB,M1L 4C2,,,485
74,FLASH TAXI,M1R 3B7,,,485
75,AKREM TAXI,M5A 3A4,,,485
76,SWIFT6,M8Z 3B1,,,485
77,EXPRESS AMBASSADOR TAXI,M3N 2S5,,,485
78,ACTIVE RIDE TAXI,M4E 2H3,,,485
79,2569220 ONTARIO,M9W 6T3,,,485
80,KING CAB SERVICE,M1L 4C2,,,485
81,SWIFT SIX,L5M 6G9,,,485
82,GADAA ACCESSIBLE TAXI,M1R 3N9,,,485
83,EAGLES TAXI COMPANY OF TORONTO,M8V 3Y7,,,485
84,ABLE ATLANTIC TAXI\BEELINE TAXI,M3C 1J5,,,485
85,6IX TAXI,M3C 1J5,,,485
86,CO-OP CABS,M9M 2M8,,,485
87,A4U,M6R 3A9,,,485
88,PRESTIGE TAXI SERVICES,L4L 9A1,,,485
89,DIAMOND TAXICAB DISPATCH SERVICES,M3N 1H6,,,485
90,TORONTO 1 TAXI,M1H 2V7,,,485
91,"SITHAMPARAPILLAI, SIVAKUMAR",M3J 2V8,,,485
92,DILLIGAF SERVICES LTD,L4V 1R3,,,485
93,METRO LIMOUSINES,L5N 8H1,,,485
94,PRESTIGE LIMOUSINE INC,M6B 4J3,,,485
95,LIM 4 U INC,L5V 3A7,,,485
96,GENUINE LIMOUSINE SERVICE,L3T 6S6,,,485
97,A B C WESTIN LIMOUSINE,M4H 1J6,,,485
98,FLIGHT-TIME-LIMOUSINE-SERVICE,M9V 3R1,,,485
99,NORTH-AMERICAN LIMOUSINE SERVICES,M1S 2V2,,,485
100,CANADA LIMOUSINE,M3B 3N7,,,485
101,ERIN MILLS LIMOUSINE SERVICE,L5K 2K8,,,485
102,AEROFLIGHT LIMOUSINE SERVICES,L5M 7W3,,,485
103,KING TOURS & LIMOUSINE SERVICE,L5R 3M4,,,485
104,BETTER KIND LIMOUSINE,L4W 2M4,,,485
105,AVANGARDE LIVERY NETWORK,M9W 4W6,,,485
106,MOELIMO LIMOUSINE LIVERY SERVICE,M9W 6C8,,,485
107,RICHMOND LIMOUSINE SERVICES,L3R 5C9,,,485
108,TORONTO TOWNCAR,L5R 1Y2,,,485
